CE_ID,CE_Name,Rarity,CE_Summon
1,Tenacity,1-Star,Friend
2,Meditation,1-Star,Friend
3,Technique,1-Star,Friend
4,Preemption,1-Star,Friend
5,Destruction,1-Star,Friend
6,Flash,2-Star,Friend
7,Pleasant Chance,2-Star,Friend
8,Plentiful Harvest,2-Star,Friend
9,Concentration,2-Star,Friend
10,Divine Oracle,2-Star,Friend
11,Azoth Blade,3-Star,Friend
12,False Attendant's Writings,3-Star,Friend
13,The Blue Black Keys,3-Star,Friend
14,The Green Black Keys,3-Star,Friend
15,The Red Black Keys,3-Star,Friend
16,Rin's Pendant,3-Star,Friend
17,Spell Tome,3-Star,Friend
18,Ley Line,3-Star,Friend
19,Magic Crystal,3-Star,Friend
20,Dragonkind,3-Star,Friend
21,Iron-Willed Training,4-Star,Unavaliable
22,Primeval Curse,4-Star,Unavaliable
23,Projection,4-Star,Unavaliable
24,Gandr,4-Star,Unavaliable
25,Verdant Sound of Destruction,4-Star,Unavaliable
26,Gem Magecraft: Antumbra,4-Star,Unavaliable
27,Be Elegant,4-Star,Unavaliable
28,Imaginary Number Magecraft,4-Star,Unavaliable
29,Divine Banquet,4-Star,Unavaliable
30,Angel's Song,4-Star,Unavaliable
31,Formal Craft,5-Star,Non-Limited
32,Imaginary Around,5-Star,Non-Limited
33,Limited/Zero Over,5-Star,Non-Limited
34,Kaleidoscope,5-Star,Non-Limited
35,Heaven's Feel,5-Star,Non-Limited
36,Beginning of the Journey,4-Star,LimitedMisc
37,Parted Sea,3-Star,Friend
38,Sealing Designation Enforcer,4-Star,Unavaliable
39,Holy Shroud of Magdalene,4-Star,Unavaliable
40,Prisma Cosmos,5-Star,Non-Limited
41,Nightless Rose,5-Star,Event
42,Mooncell Automaton,3-Star,Friend
43,Moony Jewel,4-Star,Limited
44,Bath of the Lunar Goddess,5-Star,Limited
45,Moonlight Festival,5-Star,Event
46,Runestone,3-Star,Friend
47,With One Strike,4-Star,Unavaliable
48,The Black Grail,5-Star,Non-Limited
49,Jack o'Lantern,3-Star,Limited
50,Trick or Treat,3-Star,Event
51,Halloween Arrangement,4-Star,Limited
52,Halloween Princess,5-Star,Event
53,Halloween Petite Devil,5-Star,Limited
54,Maid in Halloween,5-Star,Event
55,And So The Ship Conquers,3-Star,Friend
56,Code Cast,4-Star,Unavaliable
57,Victor of the Moon,5-Star,Non-Limited
58,Another Ending,5-Star,Non-Limited
59,Fate GUDAGUDA Order,3-Star,Limited
60,Launch Order!,4-Star,Limited
61,Gudao,5-Star,Event
62,GUDAGUDA Poster Girl,5-Star,Limited
63,Craft Essence EXP Card: Okita,3-Star,Misc
64,Craft Essence EXP Card: Nobbu,4-Star,Misc
65,Demon Boar,3-Star,Friend
66,Knight's Pride,4-Star,Unavaliable
67,Fragments of 2030,5-Star,Non-Limited
68,Lightning Reindeer,3-Star,Limited
69,March of the Saints,4-Star,Limited
70,Present for My Master,5-Star,Limited
71,Holy Night Sign,5-Star,Event
72,Clock Tower,3-Star,Friend
73,Necromancy,4-Star,Non-Limited
74,Awakened Will,4-Star,Non-Limited
75,500 Years Dedication,5-Star,Non-Limited
76,Peacefulness of 2016,3-Star,Limited
77,Heroic New Year,4-Star,Limited
78,Law of the Jungle,3-Star,Misc
79,Grand New Year,5-Star,Limited
80,Mona Lisa,5-Star,Misc
81,Happy x3 Order,4-Star,Event
82,Purely Bloom,5-Star,Event
83,Star of Artoria,5-Star,Event
84,Trueshot,3-Star,Limited
85,Mikotto! Bride Training,4-Star,Limited
86,Land of Shadow's Crimson Lotus,5-Star,Limited
87,Craft Essence EXP Card: Mysterious Substance ?,4-Star,Misc
88,Craft Essence EXP Card: Mysterious Substance ?,3-Star,Misc
89,Ry?d? Temple,3-Star,Non-Limited
90,Magic Meter,3-Star,Friend
91,Elixir of Love,3-Star,Non-Limited
92,Storch Ritter,3-Star,Friend
93,Hermitage,3-Star,Friend
94,Motored Cuirassier,3-Star,Friend
95,Stuffed Lion,3-Star,Friend
96,Lugh's Halo,3-Star,Friend
97,Vessel of the Saint,5-Star,Non-Limited
98,Golden Millennium Tree,4-Star,Non-Limited
99,Heroic Spirit Portrait: Mashu Kyrielight,4-Star,Misc
100,Heroic Spirit Portrait: Artoria Pendragon,4-Star,Misc
101,Heroic Spirit Portrait: Jeanne d'Arc,4-Star,Misc
102,Heroic Spirit Portrait: Altera,4-Star,Misc
103,Heroic Spirit Portrait: Arjuna,4-Star,Misc
104,Heroic Spirit Portrait: Scáthach,4-Star,Misc
105,Heroic Spirit Portrait: Ushiwakamaru,4-Star,Misc
106,Heroic Spirit Portrait: Henry Jekyll & Hyde,4-Star,Misc
107,Heroic Spirit Portrait: Mephistopheles,4-Star,Misc
108,Heroic Spirit Portrait: Darius III,4-Star,Misc
109,Valentine Dojo of Tears,3-Star,Limited
110,Kitchen ? Patissiere,4-Star,Limited
111,Street Choco-Maid,5-Star,Limited
112,Melty Sweetheart,5-Star,Event
113,Chaldea Standard,4-Star,Event
114,Crown Saber,4-Star,Event
115,Crown Saber Morgan,4-Star,Event
116,Ranch Chocolate,4-Star,Event
117,Imperial Chocolate,4-Star,Event
118,Enrober Photon,4-Star,Event
119,Maxim de Chevalier,4-Star,Event
120,Victory Rose,4-Star,Event
121,Yatsuhashi Chocolate,4-Star,Event
122,Strawberry and Thunder Crunch Chocolate,4-Star,Event
123,May Breeze,4-Star,Event
124,Apple Arrow Chocolate,4-Star,Event
125,Snake Chocolate (Low Effort),4-Star,Event
126,HELP,4-Star,Event
127,Inevitable Chocolate,4-Star,Event
128,Octo Octo Maiden,4-Star,Event
129,Bitter Pitch Black,4-Star,Event
130,World's End White,4-Star,Event
131,Crystallized Wisdom Chocolate,4-Star,Event
132,Brand Chocolate,4-Star,Event
133,Choco-Flavored Usumidori,4-Star,Event
134,Royal White Steed,4-Star,Event
135,Homemade Cookies and Object X,4-Star,Event
136,Mug Bonbon,4-Star,Event
137,Treasure Chocolate,4-Star,Event
138,Christmas Memories,4-Star,Event
139,Merry?Merry,4-Star,Event
140,Pumpkin Maiden,4-Star,Event
141,Chocolat Jewel,4-Star,Event
142,Ninefold Nested Confections,4-Star,Event
143,Powder Sugar Snow Tale,4-Star,Event
144,Snake Chocolate (with Love),4-Star,Event
145,Knife Chocolate Bitter,4-Star,Event
146,From Java With Love,4-Star,Event
147,Blood Ruby Chocolate,4-Star,Event
148,To Mom,4-Star,Event
149,Du Stallion Chocolate,4-Star,Event
150,Kiyohime in Ribbons,4-Star,Event
151,Wonderful Life,4-Star,Event
152,Hexagon Chocobolt,4-Star,Event
153,St. Orleans,4-Star,Event
154,Decapitating Bunny 2016,5-Star,Event
155,Mature Gentleman,5-Star,Limited
156,Grand Puppeteer,5-Star,Limited
157,Threefold Barrier,5-Star,Event
158,Vivid Dance of Fists,4-Star,Limited
159,Mystic Eyes of Distortion,4-Star,Limited
160,Summer's Futuresight,4-Star,Event
161,Refrain,4-Star,Event
162,Sprinter,3-Star,Limited
163,Repeat Magic,3-Star,Limited
164,Craft Essence EXP Card: Kuji Kanesada,3-Star,Misc
165,Kiss Your Hand,5-Star,Limited
166,Teacher and I,5-Star,Limited
167,Versus,5-Star,Limited
168,Four Beasts in the Moonlight,4-Star,Limited
169,Glass Full Sweet Time,4-Star,Limited
170,Salon de Marie,3-Star,Limited
171,Prince of Slayer,3-Star,Limited
172,Noisy Obsession,4-Star,Limited
173,Last Encore,4-Star,Event
