Servent_ID,Servant_Name,Rarity,Servent_Summon,Servent_Class,Servent_JPName,Servent_AKA,Servent_Cost,ATKLevel1,ATKMaxLevel,HPLevel1,HPMaxLevel,ATKLevel100,HPLevel100,ATKLevel120,HPLevel120,VoiceActor,Illustrator,Servent_Attribute,StarAbsorption,StarGeneration,NPChargeATK,NPChargeDEF,DeathRate,Servent_Alignments,ServentGender,ServentTraits,QuickHits,ArtsHits,BusterHits,ExtraHits,NPDamageType,NPRank,NPClassification,NPHit-Count
1,Mashu Kyrielight,4-Star,Starter,Shielder,マシュ・キリエライト,"Mash Kyrielight, Mashu Kirielite, Mash, Fairy Knight Galahad (妖精騎士ギャラハッド?)",0,1261,6791,1854,10302,10575,15619,12419,18362,Takahashi Rie,Takeuchi Takashi,Earth,99,9.90%,0.84%,3%,24.50%,Lawful Good,Female,"Costume-Owning, Demi-Servant, Hominidae Servant, Humanoid, Living Human, Riding, Round Table Knight, Servant, Weak to Enuma Elish",2,2,1,3,Arts,D,Anti-Unit,－
2,Artoria Pendragon,5-Star,Non-Limited,Saber,アルトリア・ペンドラゴン,"King of Knights of the Holy Sword (聖剣の騎士王, Seiken no Kishi-ō?), King of Knights (騎士王, Kishi-ō?), Altria Pendragon, King Arthur, Blue Saber",16,1734,11221,2222,15150,12283,16597,14418,19506,Kawasumi Ayako,Takeuchi Takashi,Earth,102,10%,0.86%,3%,21%,Lawful Good,Female,"Arthur, Artoria Face, Costume-Owning, Dragon, Hominidae Servant, Humanoid, King, Riding, Round Table Knight, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,A,Anti-Fortress,1
3,Artoria Pendragon (Alter),4-Star,Story-locked,Saber,アルトリア・ペンドラゴン〔オルタ〕,"Saber Alter, Dark-Tainted Tyrant, Artoria Alter, Black Saber, Salter",12,1708,10248,1854,11589,12408,14051,14569,16514,Kawasumi Ayako,Takeuchi Takashi,Man,99,9.90%,0.86%,3%,19.20%,Lawful Evil,Female,"Arthur, Artoria Face, Costume-Owning, Dragon, Hominidae Servant, Humanoid, King, Round Table Knight, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,A++,Anti-Fortress,3
4,Artoria Pendragon (Lily),4-Star,Friend,Saber,アルトリア・ペンドラゴン〔リリィ〕,"Saber Lily, Artoria Lily",12,1287,7726,1699,10623,9355,12880,10984,15138,Kawasumi Ayako,Takeuchi Takashi,Earth,102,10%,0.86%,3%,21%,Lawful Good,Female,"Arthur, Artoria Face, Dragon, Hominidae Servant, Humanoid, King, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,B,Anti-Unit,8
5,Nero Claudius,4-Star,Story-locked,Saber,ネロ・クラウディウス,"Emperor of Roses (薔薇の皇帝, Bara no Kōtei?), Red Saber, Nero Claudius Caesar Augustus Germanicus",12,1574,9449,1880,11753,11441,14250,13433,16748,Tange Sakura,Wada Arco,Man,102,10.10%,0.84%,3%,24.50%,Chaotic Good,Female,"Artoria Face, Costume-Owning, Hominidae Servant, Humanoid, King, Riding, Roman, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,5,Arts,B-,Anti-Encampment,1
6,Siegfried,4-Star,Non-Limited,Saber,ジークフリート,"Sigurd, Tenacious Dragon Slayer (不撓不屈の竜殺し, Futō Fukutsu no Ryū Goroshi?)Saber of Black, Dragon-Blooded Knight",12,1363,8181,2266,14165,9905,17175,11630,20185,Suwabe Junichi,Konoe Ototsugu,Earth,97,10%,0.83%,3%,28%,Chaotic Good,Male,"Costume-Owning, Dragon, Hominidae Servant, Humanoid, King, Loved One, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,A+,Anti-Army,1
7,Gaius Julius Caesar,3-Star,Non-Limited,Saber,ガイウス・ユリウス・カエサル,"Julius Caesar, Red Saber (Self-Proclaimed)",7,1392,7497,1727,9595,10146,13009,11917,15291,Okiayu Ryoutarou,Shimadoriru,Man,99,10%,1.10%,3%,31.50%,Neutral Balanced,Male,"Divinity, Hominidae Servant, Humanoid, King, Loved One, Riding, Roman, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Quick,B+,Anti-Unit,10
8,Altera,5-Star,Non-Limited,Saber,アルテラ,"Great King of Destruction (破壞の大王, Hakai no Daiō?)Attila the Hun, Destroyer of Civilization, Etzel, King of Combat",16,1907,12343,2039,13907,13511,15236,15859,17906,Noto Mamiko,huke,Man,102,10.10%,0.84%,3%,24.50%,Chaotic Good,Female,"Costume-Owning, Divinity, Hominidae Servant, Humanoid, King, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,A-,Anti-Army,1
9,Gilles de Rais (Saber),3-Star,Non-Limited,Saber,ジル・ド・レェ,-,7,1228,6615,1889,10498,8952,14234,10515,16730,Tsuruoka Satoshi,Shinjirō,Man,98,9.90%,0.82%,3%,31.50%,Lawful Good,Male,"Hominidae Servant, Humanoid, Loved One, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Arts,B,Anti-Unit,－
10,Chevalier d'Eon,4-Star,Non-Limited,Saber,シュヴァリエ・デオン,"Knight of the White Lily, Maid Knight, Charles-Geneviève-Louis-Auguste-André-Timothée d'Éon de Beaumont",12,1460,8765,2121,13256,10613,16073,12461,18890,Saito Chiwa,Moriyama Daisuke,Man,102,10%,0.83%,3%,28%,Neutral Balanced,Unknown,"Feminine Looking, Hominidae Servant, Humanoid, Riding, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Arts,C,Anti-Army,－
11,EMIYA,4-Star,Non-Limited,Archer,エミヤ,"Wrought Iron Hero (錬鉄の英霊, Rentetsu no Eirei?)
Emiya Shirou (衛宮士郎, Emiya Shirō?), Nameless/No Name (無銘), Red Archer(赤のアーチャー), Red Bowman, Faker (フェイカー), Hero of Justice (正義の味方),",12,1566,9398,1843,11521,11379,13969,13360,16418,Suwabe Junichi,Takeuchi Takashi,Man,145,7.90%,0.51%,3%,31.50%,Neutral Balanced,Male,"Costume-Owning, Hominidae Servant, Humanoid, Loved One, Servant, Seven Knights Servant, Weak to Enuma Elish",2,3,1,5,Buster,E~A,???,10
12,Gilgamesh,5-Star,Limited,Archer,ギルガメッシュ,"King of Heroes (英雄王, Eiyū-ō?), A U O",16,1897,12280,1920,13097,13442,14348,15779,16863,Seki Tomokazu,Takeuchi Takashi,Sky,153,7.90%,0.34%,3%,31.50%,Chaotic Good,Male,"Divinity, Hominidae Servant, Humanoid, King, Servant, Seven Knights Servant, Weak to Enuma Elish",5,5,5,8,Buster,A++,Anti-World,1
13,Robin Hood,3-Star,Non-Limited,Archer,ロビンフッド,"Hunter of the Woods (森の狩人, Mori no Kariudo?), Green Archer",7,1247,6715,1833,10187,9088,13812,10673,16235,Toriumi Kousuke,Wada Arco,Man,150,8%,0.87%,3%,31.50%,Neutral Good,Male,"Costume-Owning, Fairy Tale Servant, Hominidae Servant, Humanoid, Loved One, Servant, Seven Knights Servant, Weak to Enuma Elish",3,2,1,3,Arts,D,Anti-Unit,1
14,Atalanta,4-Star,Non-Limited,Archer,アタランテ,"Hunter of Chastity (純潔の狩人, Junketsu no Kariudo?)Archer of Red, Atalante",12,1438,8633,1996,12476,10453,15127,12273,17778,Hayami Saori,Rin Kususaga,Earth,148,8%,0.50%,3%,31.50%,Neutral Evil,Female,"Animal Characteristics Servant, Argo-Related, Hominidae Servant, Humanoid, Moon, Servant, Seven Knights Servant, Weak to Enuma Elish",3,2,1,3,Quick,B,Anti-Army,10
15,Euryale,3-Star,Non-Limited,Archer,エウリュアレ,The Far-Flier,7,1306,7032,1711,9506,9517,12889,11177,15149,Asakawa Yuu,AKIRA,Sky,156,7.90%,0.90%,3%,22.50%,Chaotic Good,Female,"Costume-Owning, Divine Spirit, Divinity, Goddess Servant, Humanoid, Immune to Pigify, Non-Hominidae Servant, Servant, Seven Knights Servant, Weak to Enuma Elish",3,2,1,3,Arts,B-,Anti-Unit,1
16,Arash,1-Star,Non-Limited,Archer,アーラシュ,"Arash Kamangir, Āraš-e Kamāngīr",3,1057,5816,1424,7122,9037,10979,10651,12911,Tsuruoka Satoshi,BLACK,Earth,147,8%,0.84%,3%,45%,Chaotic Balanced,Male,"Hominidae Servant, Humanoid, Loved One, Servant, Seven Knights Servant, Weak to Enuma Elish",3,2,1,3,Buster,B++,Anti-Army,1OC Extra Hit: 1
17,Cú Chulainn,3-Star,Non-Limited,Lancer,クー・フーリン,"Child of Light (光の御子, Hikari no Miko?)
Beast of Culann (クランの猛犬, Kuran no Mōken?)
Sétanta, Hound of Ulster, Coo Hullan, Child of the Sun, Rogue Lancer",7,1334,7239,1726,9593,9797,13007,11506,15288,Canna Nobutoshi,Takeuchi Takashi,Sky,87,12.10%,1.07%,4%,32%,Lawful Balanced,Male,"Divinity, Hominidae Servant, Humanoid, Loved One, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Quick,B,Anti-Unit,1
18,Elizabeth Báthory,4-Star,Non-Limited,Lancer,エリザベート・バートリー,"Elisabeth Báthory, Elizabeth Bathory, Blood Countess, Countess Dracula, Eli-Chan",12,1520,9122,1899,11870,11045,14392,12968,16915,Ookubo Rumi,Wada Arco,Man,90,11.80%,1.10%,4%,11.80%,Chaotic Evil,Female,"Dragon, Hominidae Servant, Humanoid, Servant, Seven Knights Servant, Weak to Enuma Elish",2,2,1,3,Buster,E-,Anti-Unit,5
19,Musashibō Benkei,2-Star,Non-Limited,Lancer,武蔵坊弁慶,"Hitachibou Kaison (常陸坊海尊, Hitachibō Kaison?), Musashibou Benkei",4,1029,5801,1722,9149,8406,13204,9900,15528,Inada Tetsu,Shinjirō,Man,89,11.90%,0.79%,4%,36%,Chaotic Good,Male,"Fairy Tale Servant, Genji, Hominidae Servant, Humanoid, Loved One, Servant, Seven Knights Servant, Stout Defender, Weak to Enuma Elish",2,2,1,3,Arts,EX,Anti-Army,－
