Experience_ID,Experience_Name,Rarity
1,Ember of Wisdom (EXP) (Saber),1
2,Torch of Wisdom (EXP) (Saber),2
3,Blaze of Wisdom (EXP) (Saber),3
4,Roaring Flames of Wisdom (EXP) (Saber),4
5,Hellfire of Wisdom (EXP) (Saber),5
6,Ember of Wisdom (EXP) (Lancer),1
7,Torch of Wisdom (EXP) (Lancer),2
8,Blaze of Wisdom (EXP) (Lancer),3
9,Roaring Flames of Wisdom (EXP) (Lancer),4
10,Hellfire of Wisdom (EXP) (Lancer),5
11,Ember of Wisdom (EXP) (Archer),1
12,Torch of Wisdom (EXP) (Archer),2
13,Blaze of Wisdom (EXP) (Archer),3
14,Roaring Flames of Wisdom (EXP) (Archer),4
15,Hellfire of Wisdom (EXP) (Archer),5
16,Ember of Wisdom (EXP) (Rider),1
17,Torch of Wisdom (EXP) (Rider),2
18,Blaze of Wisdom (EXP) (Archer) (Rider),3
19,Roaring Flames of Wisdom (EXP) (Rider),4
20,Hellfire of Wisdom (EXP) (Rider),5
21,Ember of Wisdom (EXP) (Caster),1
22,Torch of Wisdom (EXP) (Caster),2
23,Blaze of Wisdom (EXP) (Caster),3
24,Roaring Flames of Wisdom (EXP) (Caster),4
25,Hellfire of Wisdom (EXP) (Caster),5
26,Ember of Wisdom (EXP) (Assassin),1
27,Torch of Wisdom (EXP) (Assassin),2
28,Blaze of Wisdom (EXP) (Assassin),3
29,Roaring Flames of Wisdom (EXP) (Assassin),4
30,Hellfire of Wisdom (EXP) (Assassin),5
31,Ember of Wisdom (EXP) (Berserker),1
32,Torch of Wisdom (EXP (Berserker),2
33,Blaze of Wisdom (EXP) (Berserker),3
34,Roaring Flames of Wisdom (EXP) (Berserker),4
35,Hellfire of Wisdom (EXP) (Berserker),5
36,Ember of Wisdom (EXP) (All Class),1
37,Torch of Wisdom (EXP) (All Class),2
38,Blaze of Wisdom (EXP) (All Class),3
39,Roaring Flames of Wisdom (EXP) (All Class),4
40,Hellfire of Wisdom (EXP) (All Class),5
